country,cases,deaths,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,GDPpc,PerUrb,HCexpend,invSimp,Hookworm,Schistosomiasis,Lymphatic.filariasis,IDBurd,tests,Diabetes,cardioDR,spatLag,reg,trans,PropOver 70,AirConnectivityIndex
Cabo Verde,25992,245,26.8,0.005222856,0.204796182,0.035668988,0.002623379,0.036816176,0.146443565,134.9297767,28.93012,23.42969808,3337.546481,65.2544,3337.546481,4.38299,0.015395551,0,0,19434.72426,26497.3724,2.42,182.219,14756.9275,Afri,comm,4.698373444,
Cameroon,1183,18,18.5,0.020951069,0.190293912,0.060342444,0.211546577,0.062464591,0.190936048,53.34398891,131.5150435,24.93106635,1431.776971,55.7752,1431.776971,7.103678,0.043689841,0.043418335,0.003487259,6447610.838,4102.068806,7.2,244.661,1477.942,Afri,comm,2.723649908,0.02
Canada,21309,550,41.8,0.002690069,0.116814992,0,0,0,0.111035374,4.075188239,38.67237853,-5.963873782,44712.88921,81.3604,44712.88921,2.640949,0,0,0,260343.016,111706.658,7.37,105.599,31135.8875,Amer,comm,17.64789689,0.13
Central African Republic,1033,13,20,0.021881786,0.230159865,0.114669455,0.262438797,0.066932805,0.366953849,7.490412212,113.5673233,25.40206346,434.8751176,41.0018,434.8751176,6.923105,0.090510089,0.05874679,0.055432266,2352804.058,7365.924736,6.1,435.727,785.2728571,Afri,comm,2.81479015,0.02
Chad,214,8,16.1,0.008418957,0.104030551,0.107398078,0.08796556,0.068863815,0.220157991,12.29173364,28.75294837,27.55332756,714.2214925,22.8776,714.2214925,6.703248,0.235672109,0.031752077,0.016521342,6404644.032,9794.59636,6.1,280.995,3372.287143,Afri,comm,2.491641623,0.02
Chile,39514,997,35.5,0.003237307,0.200374593,0.008930723,0,0.030491584,0.159209868,25.18944607,50.72814519,8.454477692,14629.67689,87.4958,14629.67689,3.108465,0.006584332,0,0,180755.7732,83880.826,8.46,127.993,26737.578,Amer,comm,11.88154013,0.02
China,69,3,38.4,4.05E-04,0.125964241,0.012521918,4.95E-07,0.06177465,0.318248816,148.3488333,48.27837978,7.039331891,9066.535078,57.9312,9066.535078,2.997266,0.011554511,0.00793022,0,12261284.12,173.692,9.74,261.899,1049.695,WPac,clust,11.47219302,0.06
Colombia,42396,1100,31.2,0.002264601,0.260648484,0.102167183,0.002271523,0.049057664,0.229311975,44.75985219,221.0699689,24.73434872,6313.789701,80.44,6313.789701,4.149948,0.020204548,0,0,684290.861,36302.419,7.44,124.24,22654.01714,Amer,comm,8.765830007,0.03
Comoros,3626,132,20.9,1.73E-04,0.244216836,0.013812703,0.027963177,0.040962831,0.227918418,447.2444775,133.4617955,25.72138397,1325.11545,28.8004,1325.11545,4.726723,0.034616435,0,0.064374556,71320.86031,15571.04972,11.88,261.516,3113.51,Afri,comm,3.055403427,0.01
Congo,1461,22,19.5,0.018871743,0.261367146,0.018394858,0.187788963,0.052451287,0.300761747,15.35684627,133.606601,24.84103558,2317.07112,66.4584,2317.07112,5.345646,0.028336419,0.06656487,0.014900461,763246.2455,10250.88674,7.2,344.094,2068.515,Afri,comm,2.721415896,0.02
