country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Comoros,447.2444775,133.4617955,28.8004,1325.11545,11.88,261.516,3113.51,Afri,comm,869595,-0.36423761309121605,1.2345539932951193,1.0891195477073934,3153,115,9.653168682144392,8.056109659545061,13.675782865002597,82016.18030232465
Congo,15.35684627,133.606601,66.4584,2317.07112,7.2,344.094,2068.515,Afri,comm,5518092,-1.2590234086001575,0.04684505842853072,1.4755743644333728,8062,121,9.23511949214173,8.994916943677111,15.523542706327882,138317.05696461746
Costa Rica,97.91306306,243.6692138,78.5146,11827.23277,2.42,303.74,24989.57,Amer,comm,5094114,-0.34400691552522256,1.074273941886749,-0.06782462650938116,196439,2674,7.888248975701147,12.188107229527313,15.443596313540857,9304.36146697934
Croatia,73.04937455,89.79589846,56.6828,13509.00583,5.59,253.782,64468.2325,Euro,comm,4047200,0.1950466881540577,-0.37305709524251784,-1.509763627150895,232423,5152,10.714138018514896,12.356314266360716,15.213535841959864,5973.436617908677
Cuba,108.9995962,112.6315038,76.9898,8279.459343,8.27,190.968,14768.43,Amer,comm,11326616,-1.1308168334217301,0.7747453219105676,-1.2280829420379498,33481,238,10.378517186483533,10.41873339273561,16.242665912310404,16001.666534823817
Cyprus,128.7083333,37.82776529,66.8556,26150.60121,9.24,141.171,27193.5116666667,Euro,clust,1207361,0.14291581463032849,-0.7428964957928758,-1.2893006019835966,31863,214,12.803472997718682,10.36920074098965,14.003947544011119,4907.588646643382
Czechia,137.6577053,56.57416423,73.687,20790.31403,6.82,227.485,39675.8966666667,Euro,comm,10698896,0.3572274354191407,-0.42091207077294734,-1.5255063775697075,1044148,17482,11.865789952777904,13.858711799829482,16.18565111653887,8658.342438322608
Democratic Republic of the Congo,37.08259236,122.1602333,43.8866,514.6982648,6.1,318.949,1323.81166666667,Afri,comm,89561404,1.379956526062983,0.16252665655121085,2.7262725757127604,23644,716,8.531586800036472,10.07086466194426,18.31043502621331,176985.06769724155
Denmark,137.9765658,61.73003987,87.7586,57459.56645,6.41,114.767,49180.4783333333,Euro,comm,5831404,-0.0045077470693421495,-0.70003191726898,-1.6289734153192477,203417,2233,12.938534758362332,12.22301333825843,15.578768352661008,8394.856674310338
Djibouti,41.36842105,21.71606471,77.657,2986.47475,6.05,258.037,569.29,EMed,clust,988002,-0.5167359097631363,0.4315214494375557,0.6098810762426408,5950,63,9.768102521384728,8.691146498539675,13.803440001019453,154396.3156957172
