country,meanAge,popDen,rain,PerUrb,HCexpend,invSimp,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Afghanistan,19.5,56.93776001,26.84327013,25.2644,521.6847275,4.201166,9.59,597.029,5966.3475,EMed,clust,38928341,2.481704023292963,0.34660876801392104,55395,2414,9.974744747021074,10.922244615954773,17.477233103728686,85859.75235882771
Albania,34.3,104.6122628,82.68188798,59.3572,4649.100558,2.550607,10.08,304.195,48416.3083333333,Euro,clust,2837743,0.32045908258265177,-0.24814792511893075,85087,1453,9.93665314345912,11.351429541435136,14.858519575871526,8963.849872944802
Algeria,28.9,17.73007507,6.835601538,72.0354,4074.3967940000002,4.54016,6.73,278.364,31122.975,Afri,comm,43851043,0.6445971174564397,-0.4250560197564113,109321,2938,10.50724211664116,11.602043787457173,17.59630906213243,10715.438686372865
Andorra,46.2,163.8425532,63.13818955,88.1578,38975.90305,2.289178,7.97,109.135,35199.178,Euro,comm,77265,0.043015557613858724,-0.72302871807986,10275,106,10.340895867124265,9.237469039364436,11.254996350667795,7458.639258396427
Angola,15.9,24.71305206,80.56724208,64.825,3569.847758,6.103529,3.94,276.045,5832.41285714286,Afri,comm,32866268,-0.13413791306619716,0.2971527712280366,20114,460,8.937089426895175,9.909171369004426,17.30795740101374,153529.55559176966
Antigua and Barbuda,32.7,37.37236563,213.8767163,24.7328,15730.53824,3.970921,13.17,191.511,13727.9616666667,Amer,spor,97928,-1.34226639101653,0.14579308990410034,316,7,10.902160304839956,5.755742213586912,11.491987793755348,15022.450994608284
Argentina,32.4,16.2585101,48.74463612,91.748,12547.62491,3.281138,5.5,191.032,19448.382,Amer,comm,45376763,-0.42094909903905076,0.48892617545901784,1988274,49370,10.043523631245531,14.502777483663165,17.630510703788982,20801.4217056426
Armenia,36.6,103.6802248,44.77818904,63.1276,3991.370202,3.222748,7.11,341.01,26311.5375,Euro,comm,2963234,0.16832094030109723,0.029869708545828606,168300,3126,10.370465609350164,12.033503380178898,14.901791797450244,12069.757909770206
Australia,37.5,3.24787091,40.40741638,85.9082,54634.02203,2.452284,5.07,107.791,3161.15714285714,WPac,spor,25687041,-0.09472967975993468,-0.45466073671768753,29078,925,11.209729444476505,10.27773715349137,17.061497181447944,4472.949383309661
Austria,44.5,107.1279669,98.31900946,58.1052,47699.46776,2.381989,6.35,145.183,66998.8716666667,Euro,comm,8917205,0.1385878758051952,-0.768550455262711,417281,7865,12.196144388083386,12.941515134749892,16.00349311464753,4762.659950062829
Azerbaijan,32.6,120.2343172,35.98206744,55.3578,4612.313512,2.984225,7.11,559.812,28564.595,Euro,clust,10110116,0.21978673141218627,0.2768068213189256,230531,3154,10.705748190482563,12.348140622614451,16.12904706471916,25664.380121850234
Bahamas,32.8,38.52547453,110.0077478,82.932,32841.51708,3.314203,13.17,235.954,24474.8583333333,Amer,clust,393248,-1.2093258912316704,0.969351464423386,8289,176,11.268481051117323,9.022684613591526,12.882195735084323,26071.659665147694
Bahrain,32.9,2017.2737,5.931829167,89.1912,23296.12435,3.507296,16.52,151.689,30525.3725,EMed,clust,1701583,0.3182999131759082,-0.06390184768510812,108049,383,12.635825975530723,11.590340106917656,14.347069552221173,4966.129187938525
Bangladesh,27.9,1239.579312,193.0744926,35.8572,1553.615589,3.234086,8.38,298.003,4838.524,SEAs,comm,164689383,3.964821559058984,0.546229571526575,538370,8234,8.477455400601341,13.196301335106412,18.91957173041068,36435.18861200664
Barbados,39.5,666.6069767,186.4684396,31.1812,17342.02081,3.170846,13.57,170.05,10438.53625,Amer,comm,287371,-1.2847894653321783,0.9162319734178985,1709,18,11.081838649027961,7.443663683115591,12.568529342873353,19986.963889884504
Belarus,40.9,46.71950379,52.53906904,78.123,5945.370122,2.725554,5.18,443.129,40839.10625,Euro,comm,9398861,-0.47683053117831453,0.03288762286340558,258112,1786,10.126359867068969,12.46114887823304,16.056099069685764,10468.00055240736
Belgium,41.6,377.3795905,72.66912532,97.9596,44234.45458,2.274107,4.29,114.898,62592.925,Euro,comm,11555997,0.08336488422913069,-0.755947563267943,724376,21355,11.88366929241324,13.493065873575631,16.26271508096283,10207.45971983205
Belize,23.9,16.79399386,174.3321341,45.6184,4836.366928,3.77912,17.11,176.957,21896.6585714286,Amer,comm,397621,-0.3498750508636053,0.9020717141368391,12037,306,10.467384934580316,9.395740518379736,12.893254569271202,27588.646147965024
Benin,17,101.8539198,87.34315218,46.773,1152.188106,5.509188,0.99,235.848,1651.914,Afri,comm,12123198,0.7267801136192756,-2.6395004416547354,4195,61,8.376725583917997,8.341648618901306,16.31063136518629,234349.62581655435
Bermuda,43.6,1183.703683,109.608798479691,100,110164.5579,2.846269,13,139.547,30429.825,Amer,spor,63903,-1.413984806786334,0.600910379506906,710,12,12.320042860254244,6.565264970035361,11.065121587620395,12711.098394441575
Bhutan,29.1,19.77752777,159.6253066,40.156,3105.89273,3.81369,9.75,217.066,4826.895,SEAs,clust,771612,2.744861849785538,-0.2051261413302825,861,1,11.41074537528063,6.7580945044277305,13.556237111992312,35910.23868213558
Bolivia (Plurinational State of),25.3,10.48014585,91.00180651,69.0818,3312.882825,3.927734,6.89,204.299,27434.6216666667,Amer,comm,11673029,-0.44649506609226236,0.6492629682325203,227963,10798,9.217855462810176,12.336938614065886,16.272791524997345,45193.11971211585
Bosnia and Herzegovina,43.3,64.92048828,90.6193324,47.8876,5459.4494780000005,2.46713,10.08,329.635,59660.3228571429,Euro,comm,3280815,0.22073898118054516,-0.08705563820616032,124100,4813,10.252257504189952,11.728842971192698,15.00360242510513,7240.48356886932
Botswana,25.7,3.977424876,31.47796862,68.6812,7635.579977,5.529895,4.81,237.372,9062.59428571429,Afri,comm,2351625,-4.828051101713504,-0.8650870777085702,24436,179,10.176889763385793,10.103812733769658,14.670617136513432,196815.82573752195
Brazil,33.2,25.06171624,147.6897981,86.3028,9033.580888,3.608581,8.11,177.961,13421.78625,Amer,comm,212559409,-1.4296812524106728,1.1740790238387024,9524575,231477,5.478490784409432,16.06938585855899,19.174732079020547,22682.092233329462
British Virgin Islands,37.2,198.68,96.8854295094371,47.3432,31807.9302119478,2.219002,9.01342000000002,179.02756154881,17891.73,Amer,clust,30237,0.08920194306063298,0.683037672779828,141,1,11.7481516400952,4.948759890378168,10.316821619022988,107869301.16958362
Brunei Darussalam,31.1,81.39696395,272.6018391,77.3072,29921.92243,2.568537,12.79,201.285,5399.56,WPac,spor,437483,-0.08458081870918188,0.04016166131307955,182,3,11.567725016563148,5.204006687076795,12.98879312688199,11251.548094440242
Bulgaria,43.7,64.71109985,52.67103913,74.6686,8438.950271,5.15629,5.81,424.688,36623.0557142857,Euro,clust,6927288,1.5620567246623747,-1.1658006585303773,224167,9393,10.478439706333008,12.320146588777764,15.750978952580484,10897.806767958833
Burkina Faso,17.9,72.19128289,66.58027099,28.749,735.3127105,6.419935,2.42,269.048,838.221666666667,Afri,comm,20903278,0.8393012270219524,-1.849163037576797,11309,125,8.822649869794787,9.333354147871328,16.855416546741864,319039.6494272334
Burundi,17.7,435.178271,103.0768135,12.714,282.7480102,6.349234,6.05,293.068,1241.16,Afri,comm,11890781,0.5930599691301613,-1.1233217522905932,1724,0,8.681784119012608,7.452402451223638,16.291273951959727,206787.03316460038
Cabo Verde,26.8,134.9297767,28.93012,65.2544,3337.546481,4.38299,2.42,182.219,14756.9275,Afri,comm,555988,-0.30644401302768876,0.28507564226524607,14451,136,10.184800852416657,9.57851889529833,13.228501990265995,34955.29446678705
Cameroon,18.5,53.34398891,131.5150435,55.7752,1431.776971,7.103678,7.2,244.661,1477.942,Afri,comm,26545864,-0.007639074167594573,-0.8771966368291897,31404,478,8.319246712260538,10.354690552318147,17.09438451197276,242885.7029479244
Canada,41.8,4.075188239,38.67237853,81.3604,44712.88921,2.640949,7.37,105.599,31135.8875,Amer,comm,38005238,0.027738557438009043,-0.5450518857332134,809854,20903,11.623631589368655,13.604609263488614,17.453234550296575,6850.187755698307
Central African Republic,20,7.490412212,113.5673233,41.0018,434.8751176,6.923105,6.1,435.727,785.272857142857,Afri,comm,4829764,0.29685799319527273,0.3018989453548654,4989,63,8.904619879195543,8.514990767861038,15.39030816315136,487146.79599251645
Chad,16.1,12.29173364,28.75294837,22.8776,714.2214925,6.703248,6.1,280.995,3372.28714285714,Afri,comm,16425859,2.0181018639332575,-0.9992837269314526,3515,131,9.189586120749539,8.164794804244766,16.61436741929316,389912.27381167706
Chile,35.5,25.18944607,50.72814519,87.4958,14629.67689,3.108465,8.46,127.993,26737.578,Amer,comm,19116209,-0.5338668773211689,0.3204640702640339,755358,19059,11.33715233236842,13.534947088032487,16.766047171870053,9455.628634317609
China,38.4,148.3488333,48.27837978,57.9312,9066.535078,2.997266,9.74,261.899,1049.695,WPac,clust,1409593800,0.1614442099700953,1.3125435436143742,97262,4229,5.157283615767317,11.485163647184558,21.06656741472562,8698.452078889675
Colombia,31.2,44.75985219,221.0699689,80.44,6313.789701,4.149948,7.44,124.24,22654.0171428571,Amer,comm,50882884,-0.23422418314862098,1.2462900928199478,2157231,55971,10.499639657151112,14.584336012822206,17.74503715777969,13448.350549469642
Comoros,20.9,447.2444775,133.4617955,28.8004,1325.11545,4.726723,11.88,261.516,3113.51,Afri,comm,869595,-0.36423761309121605,1.2345539932951193,3153,115,9.653168682144392,8.056109659545061,13.675782865002597,82016.18030232465
