country,reg,trans,HIV.AIDS,Malaria,density,latitude,longitude,rainfall,temp,GDPpc,PerUrb,Diabetes_prevalence,cardioDR,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,lag_rate,pop,PathCompPC1,PathCompPC2,PathCompPC3,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil,Vaccinated_perMil
Cameroon,Afri,comm,0.020951069,0.211546577,53.34398891,7.369722,12.354722,131.5150435,24.93106635,1431.776971,55.7752,7.2,244.661,1.3,2.723649908,0.02,41300,30800,53600,35321.90098,-62322.24481,153534.3396,9.220401,0.099031895,6.500561290000001,26545864,0.7979455085659574,-0.09723644264148745,-0.4883780700600038,31394,474,8.795161386557508,10.354372070835153,17.09438451197276,242885.7029479244,31421.58040137627
Canada,Amer,comm,0.002690069,0,4.075188239,56.130366,-106.346771,38.67237853,-5.963873782,44712.88921,81.3604,7.37,105.599,2.5,17.64789689,0.13,43700,39900,47300,22019.23788,-19386.3939,66207.56226,3.8401433,0.039007051,13.9229538624,38005238,-1.9866766471116506,0.3061762155438884,-0.25847222772669337,809866,20912,11.623631589368655,13.604624080864458,17.453234550296575,6850.187755698307,833842.3245764177
Central African Republic,Afri,comm,0.021881786,0.262438797,7.490412212,6.611111,20.939444,113.5673233,25.40206346,434.8751176,41.0018,6.1,435.727,1,2.81479015,0.02,14100,8980,21600,6246.471255,-21688.1349,38953.35036,5.7974473,0.101528682,6.760418834714285,4829764,3.413606925728633,-0.4063814254225775,0.8326571456385078,4989,63,7.509593314910893,8.514990767861038,15.39030816315136,487146.79599251645,94566.93950263408
Chad,Afri,comm,0.008418957,0.08796556,12.29173364,15.454166,18.732207,28.75294837,27.55332756,714.2214925,22.8776,6.1,280.995,0.7,2.491641623,0.02,15200,8570,23500,19249.44499,-54455.32796,108037.907,6.4779044,0.098579017,10.539212845857143,16425859,3.081069332092917,2.0715142189623195,-1.3857313464877314,3508,125,8.223989502860968,8.162801353492073,16.61436741929316,389912.27381167706,13603.611232751968
Chile,Amer,comm,0.003237307,0,25.18944607,-35.675147,-71.542969,50.72814519,8.454477692,14629.67689,87.4958,8.46,127.993,2.11,11.88154013,0.02,37200,35200,39300,38695.39154,31727.36122,45595.82907,17.0817735,0.012211859,34.983827141999996,19116209,-0.836514220881925,-0.6266649250209516,0.07834150683399956,755350,19056,11.33715233236842,13.534936496971872,16.766047171870053,9455.628634317609,903807.3919363405
China,WPac,clust,4.04628e-4,4.95e-7,148.3488333,35.86166,104.195397,48.27837978,7.039331891,9066.535078,57.9312,9.74,261.899,4.34,11.47219302,0.06,17900,7540,30100,-51931.61309,-495479.5619,384127.8817,-0.3022598,0.001371482,0.7332068434999999,1409593800,0.24127508956429522,-0.06212578751193876,0.8711449554700028,97107,4623,5.157283615767317,11.483568742309231,21.06656741472562,8698.452078889675,464635.4779653542
Colombia,Amer,comm,0.002264601,0.002271523,44.75985219,4.570868,-74.297333,221.0699689,24.73434872,6313.789701,80.44,7.44,124.24,1.71,8.765830007,0.03,179000,171000,187000,164744.2968,154397.5994,175078.2507,32.4578689,0.009501546,28.682303477999998,50882884,0.8184322744957195,-0.5850582079839902,0.3514014533714119,2157215,55993,10.499639657151112,14.58432859587922,17.74503715777969,13448.350549469642,740239.9007100306
Comoros,Afri,comm,1.72793e-4,0.027963177,447.2444775,-11.875001,43.872219,133.4617955,25.72138397,1325.11545,28.8004,11.88,261.516,2.2,3.055403427,0.01,1480,1090,1850,723.484517,-1979.038578,3918.94513,7.1564079,0.096862948,5.961512953571429,869595,0.9423464624975788,-1.0603493296596038,1.4001134412211458,3153,115,6.261611906101748,8.056109659545061,13.675782865002597,82016.18030232465,366392.4010602637
Congo,Afri,comm,0.018871743,0.187788963,15.35684627,-0.228021,15.827659,133.606601,24.84103558,2317.07112,66.4584,7.2,344.094,3.7,2.721415896,0.02,11700,9320,15000,4529.22172,-13142.35544,25880.89238,6.3959365,0.094469433,6.982899316666666,5518092,1.1897362163731788,-1.866748174713101,0.2052799648699288,8060,122,6.295448641586487,8.994668835500674,15.523542706327882,138317.05696461746,110331.61462331544
Cook Islands,WPac,No_cases,0.00164139,0,123.6565217,-21.236736,-159.777671,151.2771268,25.72138397,7751.31448,88.4304,8.78,137.973,1.13,11.47219302,0.03,13600,7190,11300,-35.78151314,-206.4168961,164.1715624,-10.5909191,0.189158486,22.354421708100002,17564,0.0244622226808342,-0.8765034055648602,0.7601406071363257,0,0,9.841837548945438,-Inf,9.773606631681607,23703.732560920063,912961170.5761786
Costa Rica,Amer,comm,0.001510127,0,97.91306306,9.748917,-83.753428,243.6692138,24.92141442,11827.23277,78.5146,2.42,303.74,1.3,9.880435323,0.03,6220,5450,7310,9647.025815,-353.1578282,21573.82781,19.1600167,0.112371337,26.666008662499998,5094114,0.4808994929352652,-0.6781529304690801,0.2997054075996286,196438,2672,7.888248975701147,12.188102138875532,15.443596313540857,9304.36146697934,774738.4530460056
Croatia,Euro,comm,2.20843e-4,0,73.04937455,45.1,15.2,89.79589846,11.44510413,13509.00583,56.6828,5.59,253.782,5.54,20.86013523,0.09,22900,22100,23800,17176.10587,10700.04241,23487.00083,16.5938696,0.023361424,18.6382924025,4047200,-1.8980092637662485,0.43000088800903824,-0.073635315948295,232421,5150,10.714138018514896,12.356305661323328,15.213535841959864,5973.436617908677,556108.4206364894
Cuba,Amer,comm,0.002240084,0,108.9995962,21.521757,-77.781167,112.6315038,25.90257436,8279.459343,76.9898,8.27,190.968,5.2,15.56495916,0.05,26600,15000,46800,18159.77709,-20212.16231,63070.42265,7.7454198,0.087725765,15.143884256,11326616,-0.34601163369783255,-1.5094623552990498,0.2390600992878993,33484,240,10.378517186483533,10.418822991779948,16.242665912310404,16001.666534823817,939659.6476829443
Cyprus,Euro,clust,1.54515e-4,0,128.7083333,35.126413,33.429859,37.82776529,19.47115897,26150.60121,66.8556,9.24,141.171,3.4,17.16883689,0.05,809,509,1110,1008.744776,-172.7316487,2135.474201,8.1738201,0.031160046,20.989888451666666,1207361,-2.129958268575865,0.42157764520634144,-0.42952319319680526,31864,214,12.803472997718682,10.36923212486148,14.003947544011119,4907.588646643382,531979.2506135282
Czechia,Euro,comm,1.64339e-4,0,137.6577053,49.817492,15.472962,56.57416423,8.756214455,20790.31403,73.687,6.82,227.485,6.63,14.04826565,0.1,49100,47000,51000,37038.54611,25306.84115,48417.5698,15.3617326,0.020347389,11.810305221666667,10698896,-1.952716226704257,0.6448952164357559,-0.06983382928900315,1044148,17480,11.204330555567534,13.858711799829482,16.18565111653887,8658.342438322608,637892.7321099299
Democratic Republic of the Congo,Afri,comm,0.004399102,0.251714316,37.08259236,-4.038333,21.758664,122.1602333,24.53754904,514.6982648,43.8866,6.1,318.949,0.1,19.80074484,0.02,98700,66400,151000,117757.7044,-249194.504,554489.5825,8.1429919,0.097294727,6.172020258999999,89561404,4.3266508969444,0.5105853613702696,-0.13432838913693196,23670,681,8.288196795574292,10.071963702508029,18.31043502621331,176985.06769724155,2675.7173212693274
Denmark,Euro,comm,0.001194471,0,137.9765658,56.26392,9.501785,61.73003987,8.678213269,57459.56645,87.7586,6.41,114.767,2.5,19.96525913,0.09,10400,8900,11700,3716.267284,-1727.706669,8990.145707,3.6438533,0.016924883,9.500289967333332,5831404,-2.081329616813278,0.25166801617007967,-0.42436275295584924,203418,2231,12.938534758362332,12.223018254256315,15.578768352661008,8394.856674310338,809215.4136465249
Djibouti,EMed,clust,0.01162396,0.013112981,41.36842105,11.825138,42.590275,21.71606471,28.26240865,2986.47475,77.657,6.05,258.037,1.4,4.609063643,0.02,3850,2940,4840,1767.323822,-2209.909841,6529.956231,12.2631323,0.103928231,8.1720079625,988002,-0.4273834568458894,-0.4832076708227814,0.14315340989150313,5950,63,9.673947776419803,8.691146498539675,13.803440001019453,154396.3156957172,102052.4249950911
Dominica,Amer,clust,0.00320804,0,95.5,15.414999,-61.370976,269.0761215,24.95566571,7751.31448,70.1818,11.62,227.376,3.8,11.99872723,0.04,149,83,224,15.05365394,-490.5297635,619.1717099,1.0545877,0.123606751,-0.1786234000000011,71991,-0.11375323758486688,-1.360967124945909,0.666476193397458,121,0,5.478490784409432,4.795790545596741,11.184296390185041,21380.86056590407,3934950.202108597
Dominican Republic,Amer,comm,0.005676965,2.15e-5,219.9785759,18.735693,-70.162651,121.4442597,24.48336154,7628.896587,80.2362,8.2,266.653,1.6,7.298389658,0.05,20800,10400,29100,11873.18529,-15468.5295,44813.01903,7.9654925,0.089010206,16.155658442666667,10847904,0.7634570813490719,-1.249595360059296,-0.8295361057563042,224119,2843,9.673947776419803,12.319932439773853,16.199482439565635,28896.93900314752,2819.80740242539
Ecuador,Amer,comm,0.002364769,0.00156621,68.78868175,-1.831239,-78.183406,185.949474,21.70914423,6175.569094,63.6818,5.55,140.448,1.5,7.372199367,0.02,112000,106000,117000,80868.02826,70353.71579,91055.18919,50.3748386,0.03328047,29.52951227,17643060,0.20355718476013268,-0.21579666993089952,0.027439008276363155,258607,15013,9.152700877729728,12.463064813785714,16.6858530628866,22398.24566146689,804468.1024720202
Egypt,EMed,clust,4.72e-5,0,98.87346929,26.820553,30.802498,2.485025064,23.05570769,3016.685489,42.7312,17.31,525.432,1.6,5.276332976,0.04,265000,248000,278000,251101.5719,136209.3243,366840.6349,22.3130948,0.043870612,9.8656882892,102334403,-0.48841854931818496,0.45680236760957077,0.6748327129807401,170207,9699,8.275890251948582,12.04477062236028,18.44375646959746,23600.27888177547,331425.38584995706
El Salvador,Amer,comm,0.003484775,9.86e-5,309.8814672,13.794185,-88.89653,151.2771268,24.37199647,3935.347657,71.249,8.87,167.295,1.3,8.469582569,0.03,26900,21000,32800,17035.57142,-4326.733115,41723.92973,20.1442377,0.148283039,22.533332254999998,6486201,1.1505011126172706,-0.5156568309790928,0.29428377258672056,56653,1692,10.061353280162637,10.944700221805979,15.685187555193462,21095.587494127918,691559.3580895812
Equatorial Guinea,Afri,comm,0.051830953,0.336657105,46.66573975,1.650801,10.267895,181.8614803,24.89411058,9695.565902,71.634,7.78,202.812,2.1,2.424508808,0.02,2770,2090,3620,1719.486907,-3739.887401,8251.953537,8.1841967,0.096683886,7.306246015800001,1402985,0.4730883535581719,-1.1303697301771236,0.18221392630307562,5614,87,11.913465082742139,8.633018756921828,14.154112667651821,174097.1713168708,174361.80714690464
Eritrea,Afri,comm,0.003884645,0.012100602,23.9234769,15.179384,39.782334,22.56127292,26.94000224,714.2214925,30.3386,6.05,311.11,0.7,3.398533134,0.03,7210,5130,10300,2412.796624,-11179.76757,18716.63236,4.406419,0.092893044,11.083800054666666,3546421,1.2442632749622873,-0.18828057795844202,-0.653157205336334,2326,7,6.663390644839189,7.75190533307861,15.081449483893305,268563.1965296844,114898.65416429691
Estonia,Euro,clust,0.002565861,0,30.41124914,58.595272,25.013607,55.74426596,6.166056154,20662.39145,68.7254,4.02,255.569,4.69,19.99180778,0.06,5630,5180,6180,3374.426148,1608.258004,5087.508051,10.9072208,0.020763674,10.828097168,1331057,-1.6117378940988993,-0.40130091890362407,0.025087970010803214,48975,476,11.66691035391208,10.799065242812741,14.101483921403938,9674.602793118553,632420.7002404856
Eswatini,Afri,comm,0.195835479,6.09254e-4,66.05761628,-26.523,31.466,66.01406798,20.46310801,3804.169904,23.6328,3.94,333.436,2.1,4.014789266,0.02,13600,10500,16600,3820.248047,-2731.295012,11677.96678,16.8351905,0.108742837,8.338209936499998,1160164,1.3122487978439108,-1.6702063977144925,-0.697320034370518,16234,607,9.217855462810176,9.69486308732112,13.96407193239978,264993.55935884925,296557.2108770829
Ethiopia,Afri,comm,0.007571648,0.042854424,109.224559,9.145,40.489673,67.66684324,23.15304776,750.6946936,20.3184,7.47,182.634,0.3,3.516690455,0.01,208000,150000,313000,103495.826,-214658.4073,488788.2611,8.2935499,0.096099247,7.026772721166666,114963583,3.418182399815456,-0.3504994436548301,-2.8132928681507132,142994,2156,8.223989502860968,11.870557950319823,18.560125966611913,114644.71666649429,78373.1227305259
Fiji,WPac,spor,5.39127e-4,0,48.35703339,-16.578193,179.414413,239.7889574,24.32588622,5927.294145,55.7402,14.49,412.82,2.3,5.624229594,0.01,1480,1030,1930,-116.9223187,-3709.332275,4235.36463,-0.9294068,0.098039918,-1.0341845082499999,896444,1.9676270706816514,-0.522112361615757,3.104648866421834,56,2,8.570468520275098,4.02535169073515,13.706191104934076,32122.388872032163,739484.0056936071
