Country,WHO_Region,cases_perMil,deaths_perMil,mean_age,Transmission_Classification,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,latitude,longitude,Avg_Rainfall91.2016_mm,Avg_temp91.2016_c,GDPpc,PerUrb,HCexpend,inv_simpsons,Hookworm_disease,Schistosomiasis,Lymphatic_filariasis,inf_diseaseBurden,Total_tests_per_thousand,Diabetes_prevalence,Cardiovasc_death_rate,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,People_vaccinated
Cook Islands,Western Pacific,0,0,38.3,No_cases,0.00164139,0.199181708,0.009358061,0,0.047535707,0.278074818,NA,-21.236736,-159.777671,NA,NA,NA,NA,NA,3.382635,0.011147333,0,0,416.3323587,18804.238,8.78,137.973,1.13,NA,NA,NA,NA,NA,-35.78151314,-206.4168961,164.1715624,-10.5909191,0.189158486,NA
Costa Rica,Americas,38561.73,524.53,32.6,Community_transmission,0.001510127,0.249690478,0.073293082,0,0.04891673,0.2137157,97.91306306,9.748917,-83.753428,243.6692138,24.92141442,11827.23277,78.5146,11827.23277,4.124231,0.018762861,0,0,47397.47801,2665.772,2.42,303.74,NA,9.880435323,0.03,6220,5450,7310,9647.025815,-353.1578282,21573.82781,19.1600167,0.112371337,3946606
Croatia,Europe,57427.69,1272.51,43.9,Community_transmission,0.000220843,0.098260066,0,0,0,0.145472657,73.04937455,45.1,15.2,89.79589846,11.44510413,13509.00583,56.6828,13509.00583,2.82677,0,0,0,24175.69268,44987.413,5.59,253.782,5.54,20.86013523,0.09,22900,22100,23800,17176.10587,10700.04241,23487.00083,16.5938696,0.023361424,2250682
Cuba,Americas,2956.22,21.19,42.1,Community_transmission,0.002240084,0.277051118,0.021490859,0,0.030604733,0.183455201,108.9995962,21.521757,-77.781167,112.6315038,25.90257436,8279.459343,76.9898,8279.459343,3.148076,0.007606103,0,0,181244.7322,32161.237,8.27,190.968,5.2,15.56495916,0.05,26600,15000,46800,18159.77709,-20212.16231,63070.42265,7.7454198,0.087725765,10643164
Cyprus,Europe,26391.49,177.25,37.9,Clusters_of_cases,0.000154515,0.114568362,0,0,0,0.081148834,128.7083333,35.126413,33.429859,37.82776529,19.47115897,26150.60121,66.8556,26150.60121,2.313696,0,0,0,5925.231136,363477.617,9.24,141.171,3.4,17.16883689,0.05,809,509,1110,1008.744776,-172.7316487,2135.474201,8.1738201,0.031160046,642291
Czechia,Europe,97593.97,1633.86,43.3,Community_transmission,0.000164339,0.079950371,0,0,0,0.148011115,137.6577053,49.817492,15.472962,56.57416423,8.756214455,20790.31403,73.687,20790.31403,2.692145,0,0,0,92634.70528,NA,6.82,227.485,6.63,14.04826565,0.1,49100,47000,51000,37038.54611,25306.84115,48417.5698,15.3617326,0.020347389,6824748
Democratic Republic of the Congo,Africa,264.29,7.6,16.7,Community_transmission,0.004399102,0.220320909,0.14343247,0.251714316,0.124957197,0.313106547,37.08259236,-4.038333,21.758664,122.1602333,24.53754904,514.6982648,43.8866,514.6982648,7.636924,0.137829346,0.050999004,0.024192352,15851031.15,NA,6.1,318.949,NA,19.80074484,0.02,98700,66400,151000,117757.7044,-249194.504,554489.5825,8.1429919,0.097294727,239641
Denmark,Europe,34883.28,382.58,42,Community_transmission,0.001194471,0.128687325,0,0,0,0.08061606,137.9765658,56.26392,9.501785,61.73003987,8.678213269,57459.56645,87.7586,57459.56645,2.247537,0,0,0,48953.80079,416039.197,6.41,114.767,2.5,19.96525913,0.09,10400,8900,11700,3716.267284,-1727.706669,8990.145707,3.6438533,0.016924883,4718862
Djibouti,Eastern Mediterranean,6022.27,63.77,24.9,Clusters_of_cases,0.01162396,0.205471941,0.039146068,0.013112981,0.031037366,0.185034222,41.36842105,11.825138,42.590275,21.71606471,28.26240865,2986.47475,77.657,2986.47475,4.336196,0.009997282,0.00212565,0,152543.8687,NA,6.05,258.037,1.4,4.609063643,0.02,3850,2940,4840,1767.323822,-2209.909841,6529.956231,12.2631323,0.103928231,100828
Dominica,Americas,1680.77,0,34.9,Clusters_of_cases,0.00320804,0.241620753,0.013235304,0,0.034926316,0.259558348,95.5,15.414999,-61.370976,269.0761215,24.95566571,7751.31448,70.1818,7751.31448,3.209215,0.00817047,0,0,1539.229533,NA,11.62,227.376,3.8,NA,NA,149,83,224,15.05365394,-490.5297635,619.1717099,1.0545877,0.123606751,NA
Dominican Republic,Americas,20660.11,262.08,27.9,Community_transmission,0.005676965,0.212857024,0.048114851,2.15E-05,0.036627944,0.234603392,219.9785759,18.735693,-70.162651,121.4442597,24.48336154,7628.896587,80.2362,7628.896587,4.85857,0.006837338,0.124032855,0.016394668,313471.2202,15897.987,8.2,266.653,1.6,7.298389658,0.05,20800,10400,29100,11873.18529,-15468.5295,44813.01903,7.9654925,0.089010206,30589
Ecuador,Americas,14657.72,850.93,28.8,Community_transmission,0.002364769,0.233564259,0.083419841,0.00156621,0.056763742,0.149822992,68.78868175,-1.831239,-78.183406,185.949474,21.70914423,6175.569094,63.6818,6175.569094,3.996424,0.00540088,0,0,395173.5921,9439.902,5.55,140.448,1.5,7.372199367,0.02,112000,106000,117000,80868.02826,70353.71579,91055.18919,50.3748386,0.03328047,14193279
Egypt,Eastern Mediterranean,1663.24,94.78,24.1,Clusters_of_cases,4.72E-05,0.090130189,0.030892309,0,0.023953185,0.2850804,98.87346929,26.820553,30.802498,2.485025064,23.05570769,3016.685489,42.7312,3016.685489,2.850767,0.003722298,0.012140755,0.00721943,2415120.45,NA,17.31,525.432,1.6,5.276332976,0.04,265000,248000,278000,251101.5719,136209.3243,366840.6349,22.3130948,0.043870612,33916219
