country,meanAge,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,rain,temp,PerUrb,HCexpend,Hookworm,Schistosomiasis,Lymphatic.filariasis,Diabetes,cardioDR,spatLag,reg,trans,pop,cases,deaths,log_tests,log_cases,log_pop
Bosnia and Herzegovina,43.3,4.18e-5,0.088018895,0,0,0,0.193829225,64.92048828,90.6193324,10.48909301,47.8876,5459.4494780000005,0,0,0,10.08,329.635,59660.3228571429,Euro,comm,3280815,124100,4813,10.252257504189952,11.728842971192698,15.00360242510513
Botswana,25.7,0.157515946,0.30111756,0.00646852,8.07414e-4,0.045683201,0.154839046,3.977424876,31.47796862,22.29560192,68.6812,7635.579977,0.027755064,0.112411698,0,4.81,237.372,9062.59428571429,Afri,comm,2351625,24436,179,10.176889763385793,10.103812733769658,14.670617136513432
Brazil,33.2,0.004276361,0.28641381,0.022907849,7.25891e-4,0.036629627,0.270806068,25.06171624,147.6897981,25.50485192,86.3028,9033.580888,0.009106958,0.029321899,4.93627e-4,8.11,177.961,13421.78625,Amer,comm,212559409,9524575,231477,5.478490784409432,16.06938585855899,19.174732079020547
British Virgin Islands,37.2,0.001329502,0.101604272,0,0,0,0.27618594,198.68,96.8854295094371,18.0462245265964,47.3432,31807.9302119478,0,0,0.023342331,9.01342000000002,179.02756154881,17891.73,Amer,clust,30237,141,1,11.7481516400952,4.948759890378168,10.316821619022988
Brunei Darussalam,31.1,2.6587e-4,0.121202378,0,0,0,0.195379223,81.39696395,272.6018391,25.71679615,77.3072,29921.92243,0,0,0,12.79,201.285,5399.56,WPac,spor,437483,182,3,11.567725016563148,5.204006687076795,12.98879312688199
Bulgaria,43.7,0.004212876,0.137242689,0.15046198,0.31023491,0.03316745,0.198971216,64.71109985,52.67103913,11.28779103,74.6686,8438.950271,0.026302201,0.008633084,0.005708985,5.81,424.688,36623.0557142857,Euro,clust,6927288,224167,9393,10.478439706333008,12.320146588777764,15.750978952580484
Burkina Faso,17.9,0.0073639,0.18515429,0.084708166,0.353547631,0.096215259,0.229124914,72.19128289,66.58027099,28.69861186,28.749,735.3127105,0.110207211,0.094830772,0,2.42,269.048,838.221666666667,Afri,comm,20903278,11309,125,8.822649869794787,9.333354147871328,16.855416546741864
Burundi,17.7,0.016703432,0.153722651,0.041483709,0.28462141,0.030999333,0.21036991,435.178271,103.0768135,20.88023718,12.714,282.7480102,0.044514899,0.082007971,0.105871136,6.05,293.068,1241.16,Afri,comm,11890781,1724,0,8.681784119012608,7.452402451223638,16.291273951959727
Cabo Verde,26.8,0.005222856,0.204796182,0.035668988,0.002623379,0.036816176,0.146443565,134.9297767,28.93012,23.42969808,65.2544,3337.546481,0.015395551,0,0,2.42,182.219,14756.9275,Afri,comm,555988,14451,136,10.184800852416657,9.57851889529833,13.228501990265995
Cameroon,18.5,0.020951069,0.190293912,0.060342444,0.211546577,0.062464591,0.190936048,53.34398891,131.5150435,24.93106635,55.7752,1431.776971,0.043689841,0.043418335,0.003487259,7.2,244.661,1477.942,Afri,comm,26545864,31404,478,8.319246712260538,10.354690552318147,17.09438451197276
Canada,41.8,0.002690069,0.116814992,0,0,0,0.111035374,4.075188239,38.67237853,-5.963873782,81.3604,44712.88921,0,0,0,7.37,105.599,31135.8875,Amer,comm,38005238,809854,20903,11.623631589368655,13.604609263488614,17.453234550296575
Central African Republic,20,0.021881786,0.230159865,0.114669455,0.262438797,0.066932805,0.366953849,7.490412212,113.5673233,25.40206346,41.0018,434.8751176,0.090510089,0.05874679,0.055432266,6.1,435.727,785.272857142857,Afri,comm,4829764,4989,63,8.904619879195543,8.514990767861038,15.39030816315136
Chad,16.1,0.008418957,0.104030551,0.107398078,0.08796556,0.068863815,0.220157991,12.29173364,28.75294837,27.55332756,22.8776,714.2214925,0.235672109,0.031752077,0.016521342,6.1,280.995,3372.28714285714,Afri,comm,16425859,3515,131,9.189586120749539,8.164794804244766,16.61436741929316
Chile,35.5,0.003237307,0.200374593,0.008930723,0,0.030491584,0.159209868,25.18944607,50.72814519,8.454477692,87.4958,14629.67689,0.006584332,0,0,8.46,127.993,26737.578,Amer,comm,19116209,755358,19059,11.33715233236842,13.534947088032487,16.766047171870053
China,38.4,4.04628e-4,0.125964241,0.012521918,4.95e-7,0.06177465,0.318248816,148.3488333,48.27837978,7.039331891,57.9312,9066.535078,0.011554511,0.00793022,0,9.74,261.899,1049.695,WPac,clust,1409593800,97262,4229,5.157283615767317,11.485163647184558,21.06656741472562
Colombia,31.2,0.002264601,0.260648484,0.102167183,0.002271523,0.049057664,0.229311975,44.75985219,221.0699689,24.73434872,80.44,6313.789701,0.020204548,0,0,7.44,124.24,22654.0171428571,Amer,comm,50882884,2157231,55971,10.499639657151112,14.584336012822206,17.74503715777969
Comoros,20.9,1.72793e-4,0.244216836,0.013812703,0.027963177,0.040962831,0.227918418,447.2444775,133.4617955,25.72138397,28.8004,1325.11545,0.034616435,0,0.064374556,11.88,261.516,3113.51,Afri,comm,869595,3153,115,9.653168682144392,8.056109659545061,13.675782865002597
Congo,19.5,0.018871743,0.261367146,0.018394858,0.187788963,0.052451287,0.300761747,15.35684627,133.606601,24.84103558,66.4584,2317.07112,0.028336419,0.06656487,0.014900461,7.2,344.094,2068.515,Afri,comm,5518092,8062,121,9.23511949214173,8.994916943677111,15.523542706327882
Costa Rica,32.6,0.001510127,0.249690478,0.073293082,0,0.04891673,0.2137157,97.91306306,243.6692138,24.92141442,78.5146,11827.23277,0.018762861,0,0,2.42,303.74,24989.57,Amer,comm,5094114,196439,2674,7.888248975701147,12.188107229527313,15.443596313540857
Croatia,43.9,2.20843e-4,0.098260066,0,0,0,0.145472657,73.04937455,89.79589846,11.44510413,56.6828,13509.00583,0,0,0,5.59,253.782,64468.2325,Euro,comm,4047200,232423,5152,10.714138018514896,12.356314266360716,15.213535841959864
Cuba,42.1,0.002240084,0.277051118,0.021490859,0,0.030604733,0.183455201,108.9995962,112.6315038,25.90257436,76.9898,8279.459343,0.007606103,0,0,8.27,190.968,14768.43,Amer,comm,11326616,33481,238,10.378517186483533,10.41873339273561,16.242665912310404
Cyprus,37.9,1.54515e-4,0.11456836200000001,0,0,0,0.081148834,128.7083333,37.82776529,19.47115897,66.8556,26150.60121,0,0,0,9.24,141.171,27193.5116666667,Euro,clust,1207361,31863,214,12.803472997718682,10.36920074098965,14.003947544011119
Czechia,43.3,1.64339e-4,0.079950371,0,0,0,0.148011115,137.6577053,56.57416423,8.756214455,73.687,20790.31403,0,0,0,6.82,227.485,39675.8966666667,Euro,comm,10698896,1044148,17482,11.865789952777904,13.858711799829482,16.18565111653887
