"","country","pscore.mean","pscore.mean.se","pscore.lo","pscore.hi","plo"
"1","Afghanistan",8.90238588204593,0.0977369792611761,2.95840818067519,14.8999317563311,9.09785984056828
"2","Albania",18.162858730405,0.0305335017524099,16.2211228154295,19.968508176246,18.2239257339098
"3","Algeria",16.9504537534005,0.0785732255674754,12.3427528273743,21.9301289716276,17.1076002045354
"4","Andorra",30.173930528204,0.222230480393476,17.5270967764437,44.080615413362,30.6183914889909
"5","Angola",4.95403055326719,0.0908633778701229,-0.554752600048402,10.8167355654236,5.13575730900744
"6","Antigua and Barbuda",-1.77185363611453,0.199718381330137,-13.0438633758487,10.8673266605267,-1.37241687345426
"7","Argentina",12.0673849456509,0.0640121660841606,8.32202473829203,16.1245626034262,12.1954092778192
"8","Armenia",39.1041007674778,0.029710157978916,37.4305168827404,40.9827042218614,39.1635210834357
"9","Australia",-3.83174735798768,0.0168345406239136,-4.85942218692491,-2.77286160436738,-3.79807827673986
"10","Austria",6.87896462376295,0.0181128961880963,5.77270723414424,7.97894414142065,6.91519041613914
"11","Azerbaijan",34.5268822097086,0.0346963265810638,32.356808284017,36.6013111882827,34.5962748628707
"12","Bahamas",18.4657923486283,0.123914783067064,10.7243348049657,26.0784773324065,18.7136219147624
"13","Bahrain",7.02573123297644,0.106305640566588,0.569629164869695,13.7394394223236,7.23834251410962
"14","Bangladesh",8.73497254757735,0.0974739820448933,3.05452062236879,14.6927733179567,8.92992051166713
"15","Barbados",-4.89219525296446,0.0655753524018012,-8.72405287867801,-0.389099540628614,-4.76104454816086
"16","Belarus",20.2855774824909,0.0801884959512933,15.6821648965024,25.6381093439098,20.4459544743935
"17","Belgium",7.89817064836545,0.0187677482746893,6.73372002301093,9.0585352365077,7.93570614491483
"18","Belize",16.7979291983283,0.150876433821772,7.85137210836055,26.4357374788175,17.0996820659719
"19","Benin",6.28831369252594,0.0966951596829176,0.479974043168937,12.6215650248389,6.48170401189178
"20","Bhutan",-4.25194587642943,0.0928553186171656,-10.0783477676479,1.58335082698355,-4.0662352391951
"21","Bolivia (Plurinational State of)",47.556724654114,0.0152106953632771,46.6323077148772,48.4570409638611,47.5871460448406
"22","Bosnia and Herzegovina",20.4048047832251,0.0353350397501249,18.1718785995091,22.6319277562791,20.4754748627254
"23","Botswana",17.5988769363094,0.103858092559965,11.1834329551393,24.0172996943567,17.8065931214293
"24","Brazil",23.884615496201,0.00955345554456652,23.3046162348219,24.483395062728,23.9037224072902
"25","Brunei Darussalam",-2.15216815276715,0.135319577157198,-10.4548147687299,6.18246528566189,-1.88152899845276
"26","Bulgaria",26.4833171392874,0.0234204126881699,25.0321702916846,27.9404228259876,26.5301579646638
"27","Burkina Faso",7.29213778225533,0.0922391408394696,1.58613799444929,13.2384588375202,7.47661606393427
"28","Burundi",6.09363292818601,0.104287052070432,-0.474780524268305,12.369084472122,6.30220703232688
"29","Cabo Verde",15.1889751068284,0.114332971531813,7.90136196643548,22.06486688473,15.4176410498921
"30","Cambodia",6.28164667313985,0.093471463522456,0.515816684073232,11.9840101577105,6.46858960018476
"31","Cameroon",9.22040098186265,0.099031895013674,3.15638037600544,15.448375780715,9.41846477189
"32","Canada",3.84014329763758,0.0390070508009018,1.60257727910517,6.2489394716049,3.91815739923939
"33","Central African Republic",5.79744727827903,0.101528682070131,-0.183899592240702,12.239338590604,6.00050464241929
"34","Chad",6.47790443787278,0.0985790173794489,0.610334725792702,12.6405369109651,6.67506247263168
"35","Chile",17.0817734962114,0.0122118593303457,16.3699985124132,17.8279731667252,17.1061972148721
"36","China",-0.302259841385984,0.00137148231260263,-0.385362302893336,-0.215789684617457,-0.299516876760779
"37","Colombia",32.4578688873906,0.00950154627059833,31.8673378146684,33.0541360869797,32.4768719799318
"38","Comoros",7.15640790102919,0.0968629477865243,1.28677308522339,13.1894796514891,7.35013379660224
"39","Congo",6.39593652355261,0.0944694328166597,0.758261995837588,12.5706451158724,6.58487538918593
"40","Cook Islands",-10.5909190632686,0.189158486124343,-22.7900703775895,0.711180227562854,-10.2126020910199
"41","Costa Rica",19.1600166862174,0.112371336632613,12.4429413567231,26.6217438769033,19.3847593594826
"42","Croatia",16.5938695776205,0.0233614239639477,15.0760857441235,18.0246982398269,16.6405924255484
"43","Cuba",7.74541976902856,0.0877257654548816,2.39000471352409,13.5388700487364,7.92087129993833
"44","Cyprus",8.17382013426849,0.0311600455993862,6.11851971709502,10.0744075413589,8.23614022546726
"45","Czechia",15.3617325960312,0.0203473886412175,14.0977569451691,16.7265283308819,15.4024273733137
"46","Côte d'Ivoire",6.62812136131373,0.0951911769057418,1.09035813643658,12.5809416851745,6.81850371512522
"47","Democratic People's Republic of Korea",-1.17875566069219,0.103954717650516,-7.36603170144831,5.36970760528857,-0.97084622539116
"48","Democratic Republic of the Congo",8.14299194929508,0.0972947273470413,2.05520233631086,14.1370865000259,8.33758140398916
"49","Denmark",3.64385329523823,0.0169248827315946,2.54930508909139,4.67116389135954,3.67770306070142
"50","Djibouti",12.2631323412606,0.103928231325222,6.04200314797753,18.6440084137206,12.4709888039111
"51","Dominica",1.05458770074061,0.123606751068781,-6.3844670600939,8.89267483249939,1.30180120287817
"52","Dominican Republic",7.96549252544032,0.0890102061644727,2.51029062871712,13.6885595283659,8.14351293776926
"53","Ecuador",50.374838550244,0.0332804697749833,48.451799226838,52.4521569450644,50.4413994897939
"54","Egypt",22.3130948248518,0.0438706116615702,19.6910314521336,25.0662495424899,22.4008360481749
